Symbol,Market Cap,Sector,Industry
BDN,2431321535,Consumer Services,Real Estate Investment Trusts
BDX,72582482228,Health Care,Medical/Dental Instruments
BDXB,0,Health Care,Medical/Dental Instruments
BE,3932212684,Consumer Durables,Electrical Products
BEDU,477049264,Miscellaneous,Other Consumer Services
BEKE,45004022005,Finance,Real Estate
BEN,16279536304,Finance,Investment Managers
BEP,10412579745,Public Utilities,Electric Utilities: Central
BEP^A,,,
BEPC,6933193844,Public Utilities,Electric Utilities: Central
BEPH,0,,
BERY,8933078000,Consumer Non-Durables,Plastic Products
BEST,543480000,,
BF/A,,,
BF/B,,,
BFAM,9380261048,Miscellaneous,Other Consumer Services
BFK,702395851,Finance,Finance Companies
BFLY,2387354224,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BFS,1086170000,Consumer Services,Real Estate Investment Trusts
BFS^D,,,
BFS^E,,,
BFZ,472632580,Finance,Finance Companies
BG,10965407016,Consumer Non-Durables,Packaged Foods
BGB,614581896,Finance,Trusts Except Educational Religious and Charitable
BGH,346510686,Finance,Investment Managers
BGIO,207957592,Finance,Finance Companies
BGR,280896745,Finance,Trusts Except Educational Religious and Charitable
BGS,2017675654,Consumer Non-Durables,Packaged Foods
BGSF,120415682,Technology,Diversified Commercial Services
BGSX,249517500,Finance,Business Services
BGT,290573021,Finance,Trusts Except Educational Religious and Charitable
BGX,192904358,Finance,Trusts Except Educational Religious and Charitable
BGY,689012988,Finance,Trusts Except Educational Religious and Charitable
BH,510250742,Consumer Services,Restaurants
BHC,10608510707,,
BHE,974564217,Technology,Electrical Products
BHG,9999765978,,
BHK,907485911,Finance,Finance Companies
BHLB,1413208624,Finance,Savings Institutions
BHP,1.93456E+11,Basic Industries,Precious Metals
BHR,292231115,Consumer Services,Real Estate Investment Trusts
BHR^B,,,
BHR^D,,,
BHV,28574181,Finance,Finance/Investors Services
BHVN,7672865789,Health Care,Major Pharmaceuticals
BIF,1348277846,Finance,Investment Managers
BIG,2126517677,Consumer Services,Department/Specialty Retail Stores
BIGZ,0,,
BILL,17837339923,Technology,Computer Software: Prepackaged Software
BIO,20060080564,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIO/B,,,
BIP,16505827682,Consumer Services,Marine Transportation
BIP^A,,,
BIP^B,,,
BIPC,3501185254,,
BIPH,0,Health Care,Medical/Dental Instruments
BIT,701208345,Finance,Trusts Except Educational Religious and Charitable
BITE,247682400,Finance,Business Services
BJ,6608476810,Consumer Services,Department/Specialty Retail Stores
BK,44019176987,Finance,Major Banks
BKD,1590577220,Health Care,Hospital/Nursing Management
BKE,2382896323,Consumer Services,Clothing/Shoe/Accessory Stores
BKH,4200460081,Public Utilities,Electric Utilities: Central
BKI,12572957630,Technology,EDP Services
BKN,318503106,Finance,Trusts Except Educational Religious and Charitable
BKR,23977413955,Energy,Oilfield Services/Equipment
BKT,406610190,Finance,Trusts Except Educational Religious and Charitable
BKU,3985197742,Finance,Savings Institutions
BLD,6269102289,Capital Goods,Engineering & Construction
BLE,782666111,Finance,Finance/Investors Services
BLK,1.39702E+11,Finance,Investment Bankers/Brokers/Service
BLL,27822853200,Consumer Durables,Containers/Packaging
BLUA,356721125,Finance,Business Services
BLW,611726128,Finance,Trusts Except Educational Religious and Charitable
BLX,614999470,Finance,Commercial Banks
BMA,952749000,Finance,Commercial Banks
BME,619891485,Finance,Trusts Except Educational Religious and Charitable
BMEZ,2293502184,Finance,Trusts Except Educational Religious and Charitable
BMI,2940308402,Capital Goods,Industrial Machinery/Components
BML^G,,,
BML^H,,,
BML^J,,,
BML^L,,,
BMO,66008120183,,
BMY,1.50717E+11,Health Care,Major Pharmaceuticals
BNED,444941387,Consumer Services,Other Specialty Stores
BNL,3867689269,Consumer Services,Real Estate Investment Trusts
BNS,77359042880,Finance,Major Banks
BNY,375162818,Finance,Trusts Except Educational Religious and Charitable
BOAC,757096875,Finance,Business Services
BOAS,277725000,,
BODY,335625000,,
BOE,802237209,Finance,Trusts Except Educational Religious and Charitable
BOH,3452906816,Finance,Major Banks
BOH^A,,,
BOOT,2462694393,Consumer Services,Clothing/Shoe/Accessory Stores
BORR,228477020,Energy,Oil & Gas Production
BOX,4024150557,Technology,Computer Software: Prepackaged Software
BP,87320483022,Energy,Integrated oil Companies
BPMP,1521616721,Energy,Oil & Gas Production
BPT,100366000,Energy,Integrated oil Companies
BQ,369234167,Consumer Services,Other Specialty Stores
BR,19562533400,Miscellaneous,Business Services
BRBR,1248529620,Consumer Non-Durables,Beverages (Production/Distribution)
BRC,2842123701,Miscellaneous,Diversified Manufacture
BRFS,4102989892,Consumer Non-Durables,Meat/Poultry/Fish
BRK/A,,,
BRK/B,,,
BRMK,1410578614,Consumer Services,Real Estate Investment Trusts
BRO,15016873215,Finance,Specialty Insurers
BRSP,1278160467,Consumer Services,Real Estate Investment Trusts
BRT,310866998,Consumer Services,Real Estate Investment Trusts
BRW,577100854,Finance,Trusts Except Educational Religious and Charitable
BRX,6936901364,Consumer Services,Real Estate Investment Trusts
BSA,0,Finance,Investment Managers
BSAC,8729766805,Finance,Commercial Banks
BSBR,59436436440,Finance,Commercial Banks
BSIG,1921173898,Finance,Finance/Investors Services
BSL,219183483,Finance,Trusts Except Educational Religious and Charitable
BSM,2212504437,Energy,Oil & Gas Production
BSMX,8075866430,Finance,Commercial Banks
BSN,,Finance,Business Services
BST,1359904798,Finance,Finance Companies
BSTZ,3226677230,Finance,Trusts Except Educational Religious and Charitable
BSX,61795413084,Health Care,Medical/Dental Instruments
BSX^A,,,
BTA,185833015,Finance,Trusts Except Educational Religious and Charitable
